experiment,sub_experiment,script,model_name,sample_index,audio_duration_sec,sampling_rate,ground_truth_transcription,predicted_transcription,wer,cer,inference_time_sec,timestamp
exp5,5a,GA19B,facebook/wav2vec2-base-960h,114,22.272,16000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,MHAVEN E SHOES WITH THE ON MY BANKING APLE AT SHOR IT'S WRONG  TUT WHEN I TRY TO LOG IN IT KICKS CRASHING SO WHAT I'VE DONE HIS OVE TO LATED IT AND WING TOLED IT BUT IT STILL DOS THE FAINTING AND IT'S NOT WORKING AH IS THERE ANY WAY THAT YO CAN CALL ME BACK AN ERSYST ME THANK YOU,0.459,0.2123,0.03,2026-04-01 22:29:29
exp5,5a,GA19B,facebook/wav2vec2-base-960h,25,6.656,16000,I need to pay a bill ID like to make payment,I'M I ME TO PAY A BILL I'D LIKE TO MAKE PAYMENT,0.1818,0.1136,0.066,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,281,2.219,16000,I want to open a joint account,I WANT TO OPEN A JOINT ACCOUNT,0.0,0.0,0.024,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,250,8.52,16000,I'm going overseas and I need to check my credit card works ok but ok overseas,AM JANGAVASAYS AN I NEED TO CHECK MY CREDIT CADWORKS A THE CAI LIKE IAVA SAY,0.6875,0.3896,0.027,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,228,6.687,16000,I need to change my address,I NEED TO CHANGE MY ADDRESS,0.0,0.0,0.028,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,142,13.568,16000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,II NEED TO GET MONEY OUT TOMORR AND I'M JUST RUNNING AT ROME WHAT'S THE MAXEM I CAN WITHDRAW FROM THE COUNT THANKS,0.381,0.2182,0.033,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,104,2.645,16000,the App isn't working,THE AP ISN'T WORKING,0.25,0.05,0.024,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,558,14.954,16000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up,HOVER I'M I'M JUST CALLING ABOUT SITTING UP A DIRECT DEVERT I'M I'M JUST HOPING THAT YOU COUL HELP ME I HAVEN'T BEEN ABLE DO THIS ARM ON THE APINO JUST WHENT TO TALK TO SOME ONE ABOUT IT TO HELP YOU KNOW SEIT EVERYTHING UP,0.3636,0.1912,0.033,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,89,13.056,16000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,EMAT AM AMON TE LOKMACAD OF LOSMACADS AN DED THE FREEZER TO STOPLE TRANSACTIONS CAN YOUAIN PLEASE DO THAT FOR ME,0.6154,0.2857,0.031,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,604,16.981,16000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks,EH GET I MI AM I MAKING A LARGE PURCHASE ON WINE AT SIZIL SENDI AN ESEMES EFROCATION CARRID OR SOMETHING IM NOT SURE HOW THAT WORKS COULD YOU EXPLAIN THAT THANKS,0.5862,0.2745,0.034,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,432,8.448,16000,hi there I'm calling about a business loan I was wondering if I could get some information from you please,I THEH I'M CALLING ABOUT A BUSINESS LAND I WAS WONTEN IF I GET SOME INFORMATION FROM YO PLACE,0.35,0.1714,0.028,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,32,8.12,16000,I need to make a payment an overdue payment,YOU NEED TO MAKE A PAYMENT AN AVIDU PAYMENT,0.2222,0.1628,0.027,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,30,1.95,16000,bill payment,THE OL PIMANT,1.5,0.6667,0.024,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,95,14.933,16000,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks,OH HITHER I'M I'VE JUST DISCOVERED THAT MY CAD HAS GONE MISSING AND TAAM AT LATU FRASMA CAS AT AT NY TRANSACTIONS CAN OCCUR AM CAN YOU HELP THAT HELP ME WITH THAT PLACE THANKS,0.4857,0.2486,0.033,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,223,6.997,16000,hi I just said the address of my come please,WHY LET'S TAKE THE ADDRESS OF MY COUNT PLEAS,0.6,0.3182,0.025,2026-04-01 22:29:31
exp5,5a,GA19B,facebook/wav2vec2-base-960h,238,5.461,16000,hello I was just wondering if I could please change my address thank you,HELLO I WAS JUST WONDERING IF I COULD PLEASE CHANGE MY IDRIFT THANK YOU,0.0714,0.0694,0.024,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,517,4.864,16000,hello I was wondering if you could please show me my latest transaction,HELLO I WAS WONDERING IF YOU COULD PLEASE SHOW ME MY LATEST TRANSACTIONS,0.0769,0.0141,0.024,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,616,3.901,16000,I'm just wondering how I can deposit money into the account,I'M JUST WONDERING HOW I CAN DEPARTET MONEY INTO THE ATTOWN,0.1818,0.1379,0.019,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,27,6.912,16000,yes ID like to pay my bill today using a credit card,I YETHOD LIKE TO PAY MY BILL TO DAY USING A A CARTICOT,0.5,0.2885,0.025,2026-04-01 22:29:32
exp5,5a,GA19B,facebook/wav2vec2-base-960h,574,19.371,16000,hi I'm traffic lights payment prefer lots of money I do not know what to do with my messages and apparently chords,I I AM TRYINIC HERE MARGE PAYMENT PEFE LA SUM OF MONEY I DO NOT KNOW WHAT TO DO WITH MY MESSAGES HEN THE PAYMENT COURT OMASCOSTOT,0.6364,0.4071,0.038,2026-04-01 22:29:32
exp5,5a,GA19B,openai/whisper-tiny,114,22.272,16000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you," I'm having issues with the online banking app on social networks wrong, but when I try to log in, it keeps crashing. So what I've done is of deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",0.1803,0.0959,0.516,2026-04-01 22:35:02
exp5,5a,GA19B,openai/whisper-tiny,25,6.656,16000,I need to pay a bill ID like to make payment, I need to pay a bill. I'd like to make payment.,0.0,0.0,0.117,2026-04-01 22:35:02
exp5,5a,GA19B,openai/whisper-tiny,281,2.219,16000,I want to open a joint account, I want to open a joint account.,0.0,0.0,0.078,2026-04-01 22:35:02
exp5,5a,GA19B,openai/whisper-tiny,250,8.52,16000,I'm going overseas and I need to check my credit card works ok but ok overseas," I'm going overseas and I need to check my credit card works over K, but okay, I'll see you.",0.375,0.1948,0.184,2026-04-01 22:35:03
exp5,5a,GA19B,openai/whisper-tiny,228,6.687,16000,I need to change my address, I need to change my address.,0.0,0.0,0.073,2026-04-01 22:35:03
exp5,5a,GA19B,openai/whisper-tiny,142,13.568,16000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, I need to get to money tomorrow and I'm just wondering what's the maximum I can reach out from the count. Thanks.,0.2857,0.1818,0.2,2026-04-01 22:35:03
exp5,5a,GA19B,openai/whisper-tiny,104,2.645,16000,the App isn't working, The app isn't working.,0.0,0.0,0.064,2026-04-01 22:35:03
exp5,5a,GA19B,openai/whisper-tiny,558,14.954,16000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up, I'm just calling about sitting up a direct debit. I'm hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.,0.25,0.1814,0.332,2026-04-01 22:35:03
exp5,5a,GA19B,openai/whisper-tiny,89,13.056,16000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me, I wanted to lock my card off lost my cards. I needed a freezer to stop all transactions. Can you please do that for me?,0.3846,0.1597,0.218,2026-04-01 22:35:04
exp5,5a,GA19B,openai/whisper-tiny,604,16.981,16000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks," And again, I'm making a large purchase online at SZIL, send the SMS verification code or something. Not sure how that works. Could you explain that? Thanks.",0.2759,0.1438,0.265,2026-04-01 22:35:04
exp5,5a,GA19B,openai/whisper-tiny,432,8.448,16000,hi there I'm calling about a business loan I was wondering if I could get some information from you please, Hi there. I'm calling you about a business loan. I was on your part to get to the information from you please.,0.35,0.219,0.193,2026-04-01 22:35:04
exp5,5a,GA19B,openai/whisper-tiny,32,8.12,16000,I need to make a payment an overdue payment, I need to make a payment and over to your payment.,0.4444,0.186,0.104,2026-04-01 22:35:04
exp5,5a,GA19B,openai/whisper-tiny,30,1.95,16000,bill payment, The old payment.,1.0,0.5,0.051,2026-04-01 22:35:04
exp5,5a,GA19B,openai/whisper-tiny,95,14.933,16000,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks, I'll hide there. I've just discovered that my card has gone missing and I'd like to freeze my card so that no transactions can occur. Can you help me with that please? Thanks.,0.2286,0.1272,0.292,2026-04-01 22:35:05
exp5,5a,GA19B,openai/whisper-tiny,223,6.997,16000,hi I just said the address of my come please," Hi, I'd like to take the address on my account please.",0.6,0.3636,0.117,2026-04-01 22:35:05
exp5,5a,GA19B,openai/whisper-tiny,238,5.461,16000,hello I was just wondering if I could please change my address thank you," Hello, I was just wondering if I could please change my address. Thank you.",0.0,0.0,0.137,2026-04-01 22:35:05
exp5,5a,GA19B,openai/whisper-tiny,517,4.864,16000,hello I was wondering if you could please show me my latest transaction," Hello, I was wondering if you could please show me my latest transactions.",0.0769,0.0141,0.122,2026-04-01 22:35:05
exp5,5a,GA19B,openai/whisper-tiny,616,3.901,16000,I'm just wondering how I can deposit money into the account, I'm just wondering how I can deposit money into the account.,0.0,0.0,0.112,2026-04-01 22:35:05
exp5,5a,GA19B,openai/whisper-tiny,27,6.912,16000,yes ID like to pay my bill today using a credit card, I'd like to pay my bill today using a credit card.,0.0833,0.0769,0.113,2026-04-01 22:35:05
exp5,5a,GA19B,openai/whisper-tiny,574,19.371,16000,hi I'm traffic lights payment prefer lots of money I do not know what to do with my messages and apparently chords," Hi, I'm Pramik, a large payment with a large sum of money. I do not know what to do with my messages and the payment code. All my schools started.",0.6364,0.4513,0.287,2026-04-01 22:35:05
exp5,5a,GA19B,openai/whisper-small,114,22.272,16000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you," I'm having issues with the online banking app. I'm not sure what's wrong with that. When I try to log in, it keeps crashing. So what I've done is I've deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",0.0984,0.0342,1.247,2026-04-01 22:35:19
exp5,5a,GA19B,openai/whisper-small,25,6.656,16000,I need to pay a bill ID like to make payment, I need to pay a bill. I'd like to make payment.,0.0,0.0,0.258,2026-04-01 22:35:19
exp5,5a,GA19B,openai/whisper-small,281,2.219,16000,I want to open a joint account, I want to open a joint account.,0.0,0.0,0.167,2026-04-01 22:35:19
exp5,5a,GA19B,openai/whisper-small,250,8.52,16000,I'm going overseas and I need to check my credit card works ok but ok overseas, I'm going overseas and I need to check my credit card works okay? Okay overseas.,0.1875,0.0779,0.33,2026-04-01 22:35:20
exp5,5a,GA19B,openai/whisper-small,228,6.687,16000,I need to change my address, I need to change my address.,0.0,0.0,0.167,2026-04-01 22:35:20
exp5,5a,GA19B,openai/whisper-small,142,13.568,16000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks.,0.1429,0.0909,0.479,2026-04-01 22:35:20
exp5,5a,GA19B,openai/whisper-small,104,2.645,16000,the App isn't working, The app isn't working.,0.0,0.0,0.143,2026-04-01 22:35:20
exp5,5a,GA19B,openai/whisper-small,558,14.954,16000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",0.2045,0.1422,0.887,2026-04-01 22:35:21
exp5,5a,GA19B,openai/whisper-small,89,13.056,16000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me," Hey mate, I'm on the lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?",0.2692,0.1176,0.625,2026-04-01 22:35:22
exp5,5a,GA19B,openai/whisper-small,604,16.981,16000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks," Good day mate. I'm making a large purchase online at Cizzil, Sunday and SMS for a vacation goat or something. Not sure how that works. Could you explain that? Thanks.",0.4138,0.1895,0.638,2026-04-01 22:35:23
exp5,5a,GA19B,openai/whisper-small,432,8.448,16000,hi there I'm calling about a business loan I was wondering if I could get some information from you please, Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please.,0.0,0.0,0.411,2026-04-01 22:35:23
exp5,5a,GA19B,openai/whisper-small,32,8.12,16000,I need to make a payment an overdue payment," You need to make a payment, an overdue payment.",0.1111,0.0698,0.225,2026-04-01 22:35:23
exp5,5a,GA19B,openai/whisper-small,30,1.95,16000,bill payment, Fuel payment.,0.5,0.25,0.089,2026-04-01 22:35:23
exp5,5a,GA19B,openai/whisper-small,95,14.933,16000,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks, Oh hi there. I've just discovered that my card has gone missing and I'd like to freeze my card so that no transactions can occur. Can you help me with that please? Thanks.,0.1714,0.0983,0.635,2026-04-01 22:35:24
exp5,5a,GA19B,openai/whisper-small,223,6.997,16000,hi I just said the address of my come please," Hi, I'd like to change the address on my account please.",0.6,0.4091,0.256,2026-04-01 22:35:24
exp5,5a,GA19B,openai/whisper-small,238,5.461,16000,hello I was just wondering if I could please change my address thank you," Hello, I was just wondering if I could please change my address. Thank you.",0.0,0.0,0.301,2026-04-01 22:35:24
exp5,5a,GA19B,openai/whisper-small,517,4.864,16000,hello I was wondering if you could please show me my latest transaction," Hello, I was wondering if you could please show me my latest transactions.",0.0769,0.0141,0.278,2026-04-01 22:35:25
exp5,5a,GA19B,openai/whisper-small,616,3.901,16000,I'm just wondering how I can deposit money into the account, I'm just wondering how I can deposit money into the account.,0.0,0.0,0.253,2026-04-01 22:35:25
exp5,5a,GA19B,openai/whisper-small,27,6.912,16000,yes ID like to pay my bill today using a credit card," Yes, I'd like to pay my bill today using a credit card.",0.0,0.0,0.278,2026-04-01 22:35:25
exp5,5a,GA19B,openai/whisper-small,574,19.371,16000,hi I'm traffic lights payment prefer lots of money I do not know what to do with my messages and apparently chords," Hi, I'm trying to make a large payment with a large sum of money. I do not know what to do with my messages and the payment code. What am I supposed to do?",0.8182,0.5575,0.664,2026-04-01 22:35:26
exp5,5a,GA19B,openai/whisper-medium,114,22.272,16000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you," I'm having issues with the online banking app. I'm not sure what's wrong with that. When I try to log in, it keeps crashing. So what I've done is I've deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",0.0984,0.0342,2.165,2026-04-01 22:35:48
exp5,5a,GA19B,openai/whisper-medium,25,6.656,16000,I need to pay a bill ID like to make payment, I need to pay a bill. I'd like to make payments.,0.0909,0.0227,0.459,2026-04-01 22:35:48
exp5,5a,GA19B,openai/whisper-medium,281,2.219,16000,I want to open a joint account, I want to open a joint account.,0.0,0.0,0.301,2026-04-01 22:35:48
exp5,5a,GA19B,openai/whisper-medium,250,8.52,16000,I'm going overseas and I need to check my credit card works ok but ok overseas," I'm going overseas and I need to check my credit card works okay? Okay, overseas.",0.1875,0.0779,0.606,2026-04-01 22:35:49
exp5,5a,GA19B,openai/whisper-medium,228,6.687,16000,I need to change my address, I need to change my address.,0.0,0.0,0.271,2026-04-01 22:35:49
exp5,5a,GA19B,openai/whisper-medium,142,13.568,16000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the account. Thanks.,0.0952,0.0727,0.812,2026-04-01 22:35:50
exp5,5a,GA19B,openai/whisper-medium,104,2.645,16000,the App isn't working, The app isn't working.,0.0,0.0,0.24,2026-04-01 22:35:50
exp5,5a,GA19B,openai/whisper-medium,558,14.954,16000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",0.2045,0.1422,1.534,2026-04-01 22:35:52
exp5,5a,GA19B,openai/whisper-medium,89,13.056,16000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me," Hey mate, I'm wanting to lock my card, I've lost my card so I need to freeze it to stop all transactions. Can you please do that for me?",0.2692,0.1513,1.075,2026-04-01 22:35:53
exp5,5a,GA19B,openai/whisper-medium,604,16.981,16000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks," Good day mate. I'm making a large purchase online at Sizzle, send me an SMS verification code or something. Not sure how that works, could you explain that? Thanks.",0.2069,0.0915,1.15,2026-04-01 22:35:54
exp5,5a,GA19B,openai/whisper-medium,432,8.448,16000,hi there I'm calling about a business loan I was wondering if I could get some information from you please," Hi there, I'm calling about a business loan. I was wondering if I could get some information from you please.",0.0,0.0,0.758,2026-04-01 22:35:55
exp5,5a,GA19B,openai/whisper-medium,32,8.12,16000,I need to make a payment an overdue payment," You need to make a payment, an overdue payment.",0.1111,0.0698,0.414,2026-04-01 22:35:55
exp5,5a,GA19B,openai/whisper-medium,30,1.95,16000,bill payment, field payment.,0.5,0.25,0.157,2026-04-01 22:35:56
exp5,5a,GA19B,openai/whisper-medium,95,14.933,16000,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks," Oh, hi there. I've just discovered that my card has gone missing and I'd like to freeze my card so that no transactions can occur. Can you help me with that please? Thanks.",0.1714,0.0983,1.214,2026-04-01 22:35:57
exp5,5a,GA19B,openai/whisper-medium,223,6.997,16000,hi I just said the address of my come please," Hi, I'd like to change the address on my account please.",0.6,0.4091,0.47,2026-04-01 22:35:57
exp5,5a,GA19B,openai/whisper-medium,238,5.461,16000,hello I was just wondering if I could please change my address thank you," Hello, I was just wondering if I could please change my address. Thank you.",0.0,0.0,0.559,2026-04-01 22:35:58
exp5,5a,GA19B,openai/whisper-medium,517,4.864,16000,hello I was wondering if you could please show me my latest transaction," Hello, I was wondering if you could please show me my latest transactions.",0.0769,0.0141,0.501,2026-04-01 22:35:58
exp5,5a,GA19B,openai/whisper-medium,616,3.901,16000,I'm just wondering how I can deposit money into the account, I'm just wondering how I can deposit money into the account.,0.0,0.0,0.443,2026-04-01 22:35:59
exp5,5a,GA19B,openai/whisper-medium,27,6.912,16000,yes ID like to pay my bill today using a credit card," Yes, I'd like to pay my bill today using a credit card.",0.0,0.0,0.499,2026-04-01 22:35:59
